Chr	Start	End	Name	Null	Strand	ExcludedBases	Coverage	IntronDepth	IntronDepth25Percentile	IntronDepth50Percentile	IntronDepth75Percentile	ExonToIntronReadsLeft	ExonToIntronReadsRight	IntronDepthFirst50bp	IntronDepthLast50bp	SpliceLeft	SpliceRight	SpliceExact	IRratio	Warnings	sample
chr9	35384314	35385723	UNC13B	0	+	10	1	16.7184	13	17	20	24	24	21.95	21.95	17	17	17	0.495824	-	CGND-HRA-00654
chr19	17627940	17629239	UNC13A	0	-	10	1	16.0793	10	15	27	13	27	8.25	28.1	201	181	181	0.0740711	NonUniformIntronCover	CGND-HRA-00655
chr9	35384314	35385723	UNC13B	0	+	10	1	15.1872	12	16	18	18	13	18.05	11.2	23	23	23	0.397703	-	CGND-HRA-00655
chr19	17627940	17629239	UNC13A	0	-	10	0.989139	6.05222	3	6	8	3	5	2.9	5.05	41	39	39	0.128628	NonUniformIntronCover	CGND-HRA-00656
chr9	35384314	35385723	UNC13B	0	+	10	1	13.3137	11	13	16	25	15	20.95	15.65	16	16	16	0.454181	NonUniformIntronCover	CGND-HRA-00656
chr19	17627940	17629239	UNC13A	0	-	10	0.995345	5.87621	3	5	11	4	8	3.7	8.55	39	33	32	0.130943	-	CGND-HRA-00657
chr9	35384314	35385723	UNC13B	0	+	10	1	16.3458	14	17	19	17	10	12.85	11	26	26	26	0.386008	NonUniformIntronCover	CGND-HRA-00657
chr19	17627940	17629239	UNC13A	0	-	10	1	18.7756	15	19	22	23	16	20.6	15	242	214	214	0.0719992	-	CGND-HRA-00658
chr9	35384314	35385723	UNC13B	0	+	10	1	15.1355	13	15	18	22	14	20.1	12	19	18	18	0.443394	-	CGND-HRA-00658
chr19	17627940	17629239	UNC13A	0	-	10	1	19.706	14	19	29	19	29	11.45	26.2	538	467	466	0.035334	-	CGND-HRA-00659
chr9	35384314	35385723	UNC13B	0	+	10	1	24.3886	20	24	29	36	24	32.25	23.05	30	30	30	0.448414	-	CGND-HRA-00659
chr19	17627940	17629239	UNC13A	0	-	10	1	14.9091	10	15	21	16	28	11.15	26.85	223	205	205	0.0626672	NonUniformIntronCover	CGND-HRA-00660
chr9	35384314	35385723	UNC13B	0	+	10	1	13.287	11	13	16	20	18	17.5	19.65	13	13	13	0.505459	NonUniformIntronCover	CGND-HRA-00660
chr19	17627940	17629239	UNC13A	0	-	10	1	15.5029	10	15	20	18	19	13.8	19.4	263	238	238	0.0556651	-	CGND-HRA-00661
chr9	35384314	35385723	UNC13B	0	+	10	1	12.9875	9	13	17	15	16	20.5	17.1	25	24	24	0.341889	-	CGND-HRA-00661
chr19	17627940	17629239	UNC13A	0	-	10	1	19.3578	15	19	23	14	21	13.7	27	83	69	69	0.189119	-	CGND-HRA-00662
chr9	35384314	35385723	UNC13B	0	+	10	1	8.52763	7	8	12	13	4	17.25	6.65	10	10	10	0.460266	NonUniformIntronCover	CGND-HRA-00662
chr19	17627940	17629239	UNC13A	0	-	10	1	12.7002	10	13	15	19	13	15.9	12.5	250	228	228	0.0483448	-	CGND-HRA-00663
chr9	35384314	35385723	UNC13B	0	+	10	1	16.2175	12	16	20	8	13	7.25	13.8	28	28	28	0.366766	NonUniformIntronCover	CGND-HRA-00663
chr19	17627940	17629239	UNC13A	0	-	10	1	11.3133	10	11	13	17	15	9.85	11.4	308	263	263	0.0354302	NonUniformIntronCover	CGND-HRA-00664
chr9	35384314	35385723	UNC13B	0	+	10	1	16.1283	13	16	19	19	11	18.75	10	33	33	33	0.32829	-	CGND-HRA-00664
chr19	17627940	17629239	UNC13A	0	-	10	0.536074	0.589942	0	1	1	3	1	3	0	6	6	6	0.0820178	LowCover	CGND-HRA-00665
chr9	35384314	35385723	UNC13B	0	+	10	1	17.9055	15	18	21	15	11	21.65	14.55	34	34	34	0.344964	NonUniformIntronCover	CGND-HRA-00665
chr19	17627940	17629239	UNC13A	0	-	10	1	5.79691	4	6	8	6	7	7	8	32	29	29	0.15337	-	CGND-HRA-00666
chr9	35384314	35385723	UNC13B	0	+	10	1	13.3565	10	13	16	13	15	17.4	15	21	21	21	0.388762	-	CGND-HRA-00666
chr19	17627940	17629239	UNC13A	0	-	10	1	13.6015	11	14	16	17	14	13.5	13.45	146	127	127	0.0852219	-	CGND-HRA-00668
chr9	35384314	35385723	UNC13B	0	+	10	1	16.3244	13	16	22	15	18	15.8	16.6	20	20	20	0.449406	-	CGND-HRA-00668
chr19	17627940	17629239	UNC13A	0	-	10	1	18.1373	15	18	22	25	27	17.8	19.5	294	237	236	0.0581069	-	CGND-HRA-00669
chr9	35384314	35385723	UNC13B	0	+	10	1	27.1658	22	27	30	33	21	38	26.25	37	36	36	0.423369	-	CGND-HRA-00669
chr19	17627940	17629239	UNC13A	0	-	10	0.984484	4.5764	3	4	6	5	13	2.55	13.3	18	16	16	0.202707	NonUniformIntronCover	CGND-HRA-00670
chr9	35384314	35385723	UNC13B	0	+	10	1	19.9519	17	20	24	15	17	24.9	16.95	39	37	37	0.338443	-	CGND-HRA-00670
chr19	17627940	17629239	UNC13A	0	-	10	1	43.8279	28	43	67	41	69	41.25	58.35	78	71	71	0.359752	NonUniformIntronCover	CGND-HRA-00671
chr9	35384314	35385723	UNC13B	0	+	10	1	22.1515	19	22	25	19	25	21.85	32.25	18	18	17	0.551698	-	CGND-HRA-00671
chr19	17627940	17629239	UNC13A	0	-	10	1	10.2456	8	10	16	12	13	9.95	14.9	120	99	99	0.078664	-	CGND-HRA-00672
chr9	35384314	35385723	UNC13B	0	+	10	1	12.8111	10	13	15	10	17	11.8	18.7	8	8	8	0.615589	-	CGND-HRA-00672
chr19	17627940	17629239	UNC13A	0	-	10	1	17.3559	12	17	22.5	12	18	8.8	18.8	334	302	302	0.0493969	-	CGND-HRA-00673
chr9	35384314	35385723	UNC13B	0	+	10	1	30.5258	26	30	36	39	19	42.4	23.95	25	25	25	0.549759	NonUniformIntronCover	CGND-HRA-00673
chr19	17627940	17629239	UNC13A	0	-	10	0.889837	2.5764	1	3	4	1	1	1.45	1	33	32	32	0.0724189	-	CGND-HRA-00674
chr9	35384314	35385723	UNC13B	0	+	10	1	8.73262	7	9	11	6	3	6.05	6.3	23	23	23	0.275194	NonUniformIntronCover	CGND-HRA-00674
chr19	17627940	17629239	UNC13A	0	-	10	0.701319	1.35397	0	1	3	3	4	3	4	12	10	10	0.10139	NonUniformIntronCover	CGND-HRA-00675
chr9	35384314	35385723	UNC13B	0	+	10	1	8.44207	6	9	11	12	8	11.6	9.05	21	21	21	0.286735	-	CGND-HRA-00675
chr19	17627940	17629239	UNC13A	0	-	10	1	12.3733	5	13	22	26	35	21.5	34.2	13	11	11	0.487651	NonUniformIntronCover	CGND-HRA-00676
chr9	35384314	35385723	UNC13B	0	+	10	0.986419	3.1943	2	3	4	5	7	7.2	7	28	28	28	0.1024	NonUniformIntronCover	CGND-HRA-00676
chr19	17627940	17629239	UNC13A	0	-	10	0.957331	11.6828	5	13	19	16	29	13	23.7	42	37	37	0.217626	NonUniformIntronCover	CGND-HRA-00677
chr9	35384314	35385723	UNC13B	0	+	10	1	4.72727	4	5	6	8	5	6.9	4.5	12	12	12	0.282609	NonUniformIntronCover	CGND-HRA-00677
chr19	17627940	17629239	UNC13A	0	-	10	1	9.23985	5	9	16	19	22	19.6	21.7	42	40	40	0.180325	NonUniformIntronCover	CGND-HRA-00678
chr9	35384314	35385723	UNC13B	0	+	10	0.985704	5.00178	3	5	8	14	9	11	7.6	25	25	25	0.166716	NonUniformIntronCover	CGND-HRA-00678
chr19	17627940	17629239	UNC13A	0	-	10	0.743212	1.10058	0	1	2	4	0	3.1	0.95	4	4	4	0.215776	LowCover	CGND-HRA-00679
chr9	35384314	35385723	UNC13B	0	+	10	0.973553	4.47237	4	4	6	8	8	4.85	4.2	23	23	23	0.162795	NonUniformIntronCover	CGND-HRA-00679
chr19	17627940	17629239	UNC13A	0	-	10	1	18.5822	10	18	33	21	41	22.75	36.4	103	88	88	0.152837	NonUniformIntronCover	CGND-HRA-00680
chr9	35384314	35385723	UNC13B	0	+	10	1	8.71658	6	9	11	15	11	16.35	8	16	16	16	0.352661	NonUniformIntronCover	CGND-HRA-00680
chr19	17627940	17629239	UNC13A	0	-	10	0.986036	23.087	15	21	33	36	42	37.25	36.75	130	118	118	0.15081	NonUniformIntronCover	CGND-HRA-00681
chr9	35384314	35385723	UNC13B	0	+	10	1	15.2834	13	15	19	18	9	24.35	9.5	30	30	30	0.337506	NonUniformIntronCover	CGND-HRA-00681
chr19	17627940	17629239	UNC13A	0	-	10	0.853375	1.67505	1	2	3	4	1	2	0.5	2	2	2	0.455789	LowCover	CGND-HRA-00682
chr9	35384314	35385723	UNC13B	0	+	10	1	7.12478	5	7	9	9	4	7.15	6.2	18	18	18	0.283576	NonUniformIntronCover	CGND-HRA-00682
chr19	17627940	17629239	UNC13A	0	-	10	0.933282	4.09284	3	4	7	7	10	5.55	9.05	6	5	5	0.405519	LowCover	CGND-HRA-00683
chr9	35384314	35385723	UNC13B	0	+	10	1	19.1426	15	19	25	33	20	28.25	22.95	67	67	67	0.22222	NonUniformIntronCover	CGND-HRA-00683
chr19	17627940	17629239	UNC13A	0	-	10	1	43.236	32	43	52	20	35	20.85	39.4	70	66	66	0.381822	NonUniformIntronCover	CGND-HRA-00684
chr9	35384314	35385723	UNC13B	0	+	10	1	14.959	12	15	18	19	15	20.75	16.15	13	13	13	0.535033	-	CGND-HRA-00684
chr19	17627940	17629239	UNC13A	0	-	10	1	37.4642	27	33	60	31	43	26.35	52.35	43	39	39	0.465601	-	CGND-HRA-00685
chr9	35384314	35385723	UNC13B	0	+	10	1	15.6257	11	16	19	17	12	18.8	11.3	32	32	32	0.328093	-	CGND-HRA-00685
chr19	17627940	17629239	UNC13A	0	-	10	1	37.2592	28	37	46	28	46	27.05	46.65	48	43	43	0.437011	-	CGND-HRA-00686
chr9	35384314	35385723	UNC13B	0	+	10	1	12.3975	10	12	17	11	10	11	9.5	12	12	12	0.508146	-	CGND-HRA-00686
chr19	17627940	17629239	UNC13A	0	-	10	1	21.1277	12	22	29.5	15	29	14	26.6	19	14	14	0.526511	MinorIsoform	CGND-HRA-00687
chr9	35384314	35385723	UNC13B	0	+	10	0.989993	4.45989	3	4	6	8	3	3.3	3	17	17	17	0.207825	NonUniformIntronCover	CGND-HRA-00687
chr19	17627940	17629239	UNC13A	0	-	10	1	24.3482	18	24	34	28	33	22.2	31	17	15	15	0.588857	-	CGND-HRA-00689
chr9	35384314	35385723	UNC13B	0	+	10	1	11.9893	10	12	15	13	13	14.3	11.6	5	5	5	0.705697	-	CGND-HRA-00689
chr19	17627940	17629239	UNC13A	0	-	10	1	24.8337	19	24	33	19	28	18.6	25.35	43	36	36	0.366096	-	CGND-HRA-00690
chr9	35384314	35385723	UNC13B	0	+	10	1	12.2692	10	12	14	11	12	17.4	13.45	23	23	23	0.347872	-	CGND-HRA-00690
chr19	17627940	17629239	UNC13A	0	-	10	1	30.3075	18	29	52	22	47	21	40.25	36	33	33	0.457075	NonUniformIntronCover	CGND-HRA-00691
chr9	35384314	35385723	UNC13B	0	+	10	1	12.1765	9	12	14	23	10	21.55	11	20	19	19	0.378428	NonUniformIntronCover	CGND-HRA-00691
chr19	17627940	17629239	UNC13A	0	-	10	1	21.3056	16	21	29	12	25	13	22.45	55	49	49	0.279214	NonUniformIntronCover	CGND-HRA-00692
chr9	35384314	35385723	UNC13B	0	+	10	1	5.71301	5	6	7	5	8	8	7.95	13	12	12	0.305296	-	CGND-HRA-00692
chr19	17627940	17629239	UNC13A	0	-	10	1	39.2398	31	40	49	30	54	30.95	51.2	31	19	19	0.558655	MinorIsoform	CGND-HRA-00693
chr9	35384314	35385723	UNC13B	0	+	10	1	6.08913	4	6	8	7	7	4	7.35	15	15	15	0.288733	-	CGND-HRA-00693
chr19	17627940	17629239	UNC13A	0	-	10	1	29.1199	18	29	37	10	43	13	37.65	31	26	26	0.484364	NonUniformIntronCover	CGND-HRA-00694
chr9	35384314	35385723	UNC13B	0	+	10	1	7.64528	6	8	9	11	6	13.05	7.6	17	17	17	0.310213	-	CGND-HRA-00694
chr19	17627940	17629239	UNC13A	0	-	10	1	30.7621	21	32	38	25	26	23.5	22.35	100	93	93	0.235252	-	CGND-HRA-00696
chr9	35384314	35385723	UNC13B	0	+	10	1	13.615	11	14	16	22	7	21.95	8	20	20	20	0.405027	NonUniformIntronCover	CGND-HRA-00696
chr19	17627940	17629239	UNC13A	0	-	10	1	25.9865	16	23	44	19	38	15	35.75	59	52	52	0.305772	-	CGND-HRA-00697
chr9	35384314	35385723	UNC13B	0	+	10	1	11.123	8	11	14	15	11	13.95	13.75	13	13	13	0.461095	-	CGND-HRA-00697
chr19	17627940	17629239	UNC13A	0	-	10	1	34.1509	22	35	42	19	30	17.35	33.65	38	31	31	0.473326	NonUniformIntronCover	CGND-HRA-00698
chr9	35384314	35385723	UNC13B	0	+	10	1	8.31194	7	8	10	6	1	7.9	1	16	16	16	0.341887	NonUniformIntronCover	CGND-HRA-00698
chr19	17627940	17629239	UNC13A	0	-	10	1	46.1896	38	45	58	32	55	32.7	55.95	50	44	44	0.480193	-	CGND-HRA-00700
chr9	35384314	35385723	UNC13B	0	+	10	1	8.33868	5	9	11	9	10	10.9	9	23	23	23	0.266083	-	CGND-HRA-00700
chr19	17627940	17629239	UNC13A	0	-	10	1	30.677	19	31	41	22	31	17.5	29.1	40	40	40	0.434045	-	CGND-HRA-00701
chr9	35384314	35385723	UNC13B	0	+	10	1	7.53298	6	8	10	8	2	11.9	3.6	7	7	7	0.518337	NonUniformIntronCover	CGND-HRA-00701
chr19	17627940	17629239	UNC13A	0	-	10	1	26.9439	22	27	33	20	28	20.85	29	29	23	23	0.481624	-	CGND-HRA-00702
chr9	35384314	35385723	UNC13B	0	+	10	1	13.9447	11	14	16	14	15	16.7	14.3	17	17	17	0.450634	-	CGND-HRA-00702
chr19	17627940	17629239	UNC13A	0	-	10	1	30.7273	17	32	39	10	28	14.1	25.5	21	17	17	0.594025	NonUniformIntronCover	CGND-HRA-00703
chr9	35384314	35385723	UNC13B	0	+	10	1	14.9804	12	15	18	17	12	16.25	11.8	17	17	17	0.468424	-	CGND-HRA-00703
chr19	17627940	17629239	UNC13A	0	-	10	1	32.5048	27	32	39	22	39	20.75	34.45	75	58	58	0.302357	-	CGND-HRA-00704
chr9	35384314	35385723	UNC13B	0	+	10	1	10.9768	9	11	12	15	8	14	8.35	16	16	16	0.406898	-	CGND-HRA-00704
chr19	17627940	17629239	UNC13A	0	-	10	1	33.236	19	32	47	12	27	7.4	30.05	57	43	43	0.368323	NonUniformIntronCover	CGND-HRA-00705
chr9	35384314	35385723	UNC13B	0	+	10	1	15.713	14	16	17	17	16	19.7	15.4	13	12	12	0.547244	-	CGND-HRA-00705
chr19	17627940	17629239	UNC13A	0	-	10	1	27.7137	17	28	38	15	38	13	38.9	26	22	22	0.515952	NonUniformIntronCover	CGND-HRA-00706
chr9	35384314	35385723	UNC13B	0	+	10	1	10.5971	8	11	13	12	16	11.4	12	12	12	12	0.46896	NonUniformIntronCover	CGND-HRA-00706
chr19	17627940	17629239	UNC13A	0	-	10	1	29.1025	23	28	44	23	43	24.6	39.7	47	43	43	0.382412	-	CGND-HRA-00707
chr9	35384314	35385723	UNC13B	0	+	10	1	9.96257	8	10	12	11	7	11.1	7.55	26	26	25	0.277026	-	CGND-HRA-00707
chr19	17627940	17629239	UNC13A	0	-	10	1	24.3308	13	25	36	11	17	10.8	15.95	34	32	32	0.417117	NonUniformIntronCover	CGND-HRA-00708
chr9	35384314	35385723	UNC13B	0	+	10	1	9.80927	8	10	11	9	12	9.05	10.1	13	13	13	0.430056	-	CGND-HRA-00708
chr19	17627940	17629239	UNC13A	0	-	10	1	34.412	19	35	48	23	31	20.35	30.65	57	47	47	0.376449	-	CGND-HRA-00709
chr9	35384314	35385723	UNC13B	0	+	10	1	8.38859	6	8	11	10	9	10.1	8.85	10	10	10	0.456185	-	CGND-HRA-00709
chr19	17627940	17629239	UNC13A	0	-	10	1	26.8743	21	26	34	28	38	26.4	33.7	29	21	21	0.480978	MinorIsoform	CGND-HRA-00710
chr9	35384314	35385723	UNC13B	0	+	10	1	7.08021	6	7	9	7	8	7.2	7	6	6	6	0.541292	-	CGND-HRA-00710
chr19	17627940	17629239	UNC13A	0	-	10	1	32.8008	24	32	44	20	21	17.15	25	48	40	40	0.405946	NonUniformIntronCover	CGND-HRA-00713
chr9	35384314	35385723	UNC13B	0	+	10	1	15.4599	13	16	18	16	11	15.75	12.85	12	12	12	0.562999	-	CGND-HRA-00713
chr19	17627940	17629239	UNC13A	0	-	10	1	37.6267	26	34	56	26	72	30.25	66.15	25	17	17	0.600809	MinorIsoform	CGND-HRA-00714
chr9	35384314	35385723	UNC13B	0	+	10	1	7.88948	6	8	12	6	10	6.15	11.5	32	32	32	0.197784	-	CGND-HRA-00714
chr19	17627940	17629239	UNC13A	0	-	10	1	24.7563	18	24	41	17	25	16.6	24.75	16	11	11	0.607423	MinorIsoform	CGND-HRA-00715
chr9	35384314	35385723	UNC13B	0	+	10	1	6.49198	5	7	8	8	6	5.75	4.85	17	16	16	0.276349	-	CGND-HRA-00715
chr19	17627940	17629239	UNC13A	0	-	10	1	30.147	23	29	41	17	29	15.5	28.4	43	33	33	0.412143	NonUniformIntronCover	CGND-HRA-00716
chr9	35384314	35385723	UNC13B	0	+	10	1	8.13725	6	8	10	6	7	6.4	7	16	16	16	0.337124	-	CGND-HRA-00716
chr19	17627940	17629239	UNC13A	0	-	10	1	20.0406	14	18	35	11	36	14.3	35	19	15	15	0.513327	NonUniformIntronCover	CGND-HRA-00717
chr9	35384314	35385723	UNC13B	0	+	10	1	8.66667	7	9	11	9	5	11	5	16	16	16	0.351351	NonUniformIntronCover	CGND-HRA-00717
chr19	17627940	17629239	UNC13A	0	-	10	1	27.7563	20	28	34	22	24	17.7	24.55	47	46	46	0.37129	-	CGND-HRA-00718
chr9	35384314	35385723	UNC13B	0	+	10	1	9.61854	7	10	12	8	9	9.9	12	8	8	8	0.545933	-	CGND-HRA-00718
chr19	17627940	17629239	UNC13A	0	-	10	1	53.5358	35	54	75	28	59	33.6	62.1	58	43	43	0.479988	MinorIsoform	CGND-HRA-00719
chr9	35384314	35385723	UNC13B	0	+	10	1	9.30303	6	9	13	4	8	5.05	5.6	19	19	19	0.328694	NonUniformIntronCover	CGND-HRA-00719
chr19	17627940	17629239	UNC13A	0	-	10	1	30.6364	20	31	39	12	19	11.75	24.95	41	33	33	0.427665	NonUniformIntronCover	CGND-HRA-00720
chr9	35384314	35385723	UNC13B	0	+	10	0.987134	6.24599	5	6	8	12	9	9	10.05	9	9	9	0.409681	NonUniformIntronCover	CGND-HRA-00720
chr19	17627940	17629239	UNC13A	0	-	10	1	15.9168	12	16	24	16	20	11.5	19.1	35	29	29	0.312604	-	CGND-HRA-00721
chr9	35384314	35385723	UNC13B	0	+	10	1	5.89305	5	6	7	10	4	10	3	13	13	13	0.311916	NonUniformIntronCover	CGND-HRA-00721
chr19	17627940	17629239	UNC13A	0	-	10	1	11.8433	8	11	23	11	7	11.05	10.15	41	35	35	0.224122	NonUniformIntronCover	CGND-HRA-00722
chr9	35384314	35385723	UNC13B	0	+	10	1	9.18717	6	9	12	16	5	14.4	6.9	17	17	17	0.350827	NonUniformIntronCover	CGND-HRA-00722
chr19	17627940	17629239	UNC13A	0	-	10	1	18.0193	13	17	24	8	13	10.15	17.25	37	35	35	0.327509	NonUniformIntronCover	CGND-HRA-00723
chr9	35384314	35385723	UNC13B	0	+	10	1	9.87522	8	10	12	14	5	14.25	5.3	11	11	11	0.47306	NonUniformIntronCover	CGND-HRA-00723
chr19	17627940	17629239	UNC13A	0	-	10	1	16.236	13	16	22	11	17	12.85	18.15	43	33	33	0.27409	-	CGND-HRA-00724
chr9	35384314	35385723	UNC13B	0	+	10	0.984989	3.92157	2	4	5	3	5	5	5.5	15	15	15	0.207254	-	CGND-HRA-00724
chr19	17627940	17629239	UNC13A	0	-	10	1	25.6074	17	26	36	15	31	16.85	34.5	46	39	39	0.357608	NonUniformIntronCover	CGND-HRA-00725
chr9	35384314	35385723	UNC13B	0	+	10	1	8.61497	6	9	11	5	11	5	11	23	23	23	0.272497	NonUniformIntronCover	CGND-HRA-00725
chr19	17627940	17629239	UNC13A	0	-	10	1	18.3849	15	18	25	13	22	14.8	17.85	30	23	23	0.379972	-	CGND-HRA-00726
chr9	35384314	35385723	UNC13B	0	+	10	1	7.959	6	8	10	6	1	8	1.2	15	15	15	0.346661	NonUniformIntronCover	CGND-HRA-00726
chr19	17627940	17629239	UNC13A	0	-	10	1	15.2573	11	15	26	11	16	11.45	17.45	58	52	52	0.20827	-	CGND-HRA-00727
chr9	35384314	35385723	UNC13B	0	+	10	1	4.70945	3	5	6	5	4	6.5	3	8	8	8	0.370547	-	CGND-HRA-00727
chr19	17627940	17629239	UNC13A	0	-	10	1	12.8646	10	13	16	10	15	8.8	14.85	52	45	45	0.19833	-	CGND-HRA-00728
chr9	35384314	35385723	UNC13B	0	+	10	1	5.86988	4	6	8	7	4	8	4	13	13	13	0.311071	-	CGND-HRA-00728
chr19	17627940	17629239	UNC13A	0	-	10	1	10.0793	5	9	20	9	23	10	19.35	18	16	16	0.358958	NonUniformIntronCover	CGND-HRA-00729
chr9	35384314	35385723	UNC13B	0	+	10	1	9.92513	8	10	12	15	3	15.4	3	17	17	17	0.36862	NonUniformIntronCover	CGND-HRA-00729
chr19	17627940	17629239	UNC13A	0	-	10	1	11.7814	6	12	16	12	18	7.9	19	50	45	45	0.190695	NonUniformIntronCover	CGND-HRA-00730
chr9	35384314	35385723	UNC13B	0	+	10	1	8.05348	6	8	9	5	3	5.55	4.4	15	15	15	0.349339	NonUniformIntronCover	CGND-HRA-00730
chr19	17627940	17629239	UNC13A	0	-	10	1	23.0116	18	23	28	20	40	18.25	36.25	73	63	63	0.239675	NonUniformIntronCover	CGND-HRA-00731
chr9	35384314	35385723	UNC13B	0	+	10	1	9.86275	8	10	13	16	5	7.7	5.1	13	13	13	0.431389	NonUniformIntronCover	CGND-HRA-00731
chr19	17627940	17629239	UNC13A	0	-	10	0.965865	5.92456	4	6	7	8	10	7	12.05	134	109	109	0.0423411	NonUniformIntronCover	CGND-HRA-00732
chr9	35384314	35385723	UNC13B	0	+	10	1	7.37611	5	7	10	10	5	6.7	4.95	13	13	13	0.361998	-	CGND-HRA-00732
chr19	17627940	17629239	UNC13A	0	-	10	0.96121	4.16828	3	4	6	14	6	12.8	3.1	87	71	71	0.0457207	NonUniformIntronCover	CGND-HRA-00733
chr9	35384314	35385723	UNC13B	0	+	10	1	6.00891	4	6	8	6	2	6.6	2.7	10	10	10	0.375348	NonUniformIntronCover	CGND-HRA-00733
chr19	17627940	17629239	UNC13A	0	-	10	0.97052	3.14313	2	3	5	3	0	2.25	3	22	21	21	0.12501	NonUniformIntronCover	CGND-HRA-00734
chr9	35384314	35385723	UNC13B	0	+	10	1	10.1194	9	10	12	12	8	11.25	9.9	17	17	17	0.373143	-	CGND-HRA-00734
chr19	17627940	17629239	UNC13A	0	-	10	0.995345	5.25919	3	5	7	7	7	8	5.15	35	30	30	0.130633	-	CGND-HRA-00735
chr9	35384314	35385723	UNC13B	0	+	10	0.989993	7.27986	5	7	9	8	6	8.75	7.25	16	16	16	0.312711	-	CGND-HRA-00735
chr19	17627940	17629239	UNC13A	0	-	10	0.460047	0.400387	0	0	1	0	1	0	1	15	12	12	0.0297571	-	CGND-HRA-00736
chr9	35384314	35385723	UNC13B	0	+	10	1	5.4795	4	6	7	10	8	8.05	5.65	46	46	46	0.10644	NonUniformIntronCover	CGND-HRA-00736
chr19	17627940	17629239	UNC13A	0	-	10	0.0287044	0	0	0	0	1	0	1	0	0	0	0	0	LowCover	CGND-HRA-00737
chr9	35384314	35385723	UNC13B	0	+	10	1	6.041	4	6	8	2	5	2	5	35	35	35	0.147194	NonUniformIntronCover	CGND-HRA-00737
chr19	17627940	17629239	UNC13A	0	-	10	1	11.3153	8	11	14	10	12	5.8	9.65	20	17	17	0.361334	-	CGND-HRA-00738
chr9	35384314	35385723	UNC13B	0	+	10	0.996426	12.4296	8	13	17	19	20	18.1	21.95	51	51	51	0.195959	NonUniformIntronCover	CGND-HRA-00738
chr19	17627940	17629239	UNC13A	0	-	10	1	10.5667	8	10	14	9	8	10.15	11.8	8	6	6	0.569122	MinorIsoform	CGND-HRA-00739
chr9	35384314	35385723	UNC13B	0	+	10	0.960686	6.42959	4	6	9	4	9	9	8	64	62	62	0.091291	NonUniformIntronCover	CGND-HRA-00739
chr19	17627940	17629239	UNC13A	0	-	10	0.934057	3.41586	3	3	4	0	3	0	3.25	12	9	9	0.221581	MinorIsoform	CGND-HRA-00740
chr9	35384314	35385723	UNC13B	0	+	10	0.975697	6.08913	4	6	8	4	4	5.3	3	30	30	30	0.168725	NonUniformIntronCover	CGND-HRA-00740
chr19	17627940	17629239	UNC13A	0	-	10	1	19.7427	15	20	24	9	13	6.1	12	33	27	27	0.374322	NonUniformIntronCover	CGND-HRA-00741
chr9	35384314	35385723	UNC13B	0	+	10	1	29.107	23	29	39	22	26	22.15	26	106	106	104	0.215436	-	CGND-HRA-00741
chr19	17627940	17629239	UNC13A	0	-	10	1	9.22631	7	9	13	3	3	1.95	6	35	31	31	0.208616	NonUniformIntronCover	CGND-HRA-00742
chr9	35384314	35385723	UNC13B	0	+	10	1	5.27629	4	5	7	3	7	5	6.85	68	68	68	0.0720054	NonUniformIntronCover	CGND-HRA-00742
chr19	17627940	17629239	UNC13A	0	-	10	1	13.8897	10	14	18	6	6	6.45	7	42	38	38	0.248521	NonUniformIntronCover	CGND-HRA-00743
chr9	35384314	35385723	UNC13B	0	+	10	1	21.8859	18	22	27	8	27	12	24.7	113	113	112	0.162255	NonUniformIntronCover	CGND-HRA-00743
chr19	17627940	17629239	UNC13A	0	-	10	1	21.7021	17	22	26	11	16	5.7	14.55	35	33	33	0.382739	NonUniformIntronCover	CGND-HRA-00744
chr9	35384314	35385723	UNC13B	0	+	10	1	10.6613	7	11	15	11	6	12	6	54	54	54	0.164879	NonUniformIntronCover	CGND-HRA-00744
chr19	17627940	17629239	UNC13A	0	-	10	0.98526	10.029	7	10	14	6	10	2.75	10.75	32	27	27	0.238621	NonUniformIntronCover	CGND-HRA-00745
chr9	35384314	35385723	UNC13B	0	+	10	1	20.7255	16	21	26	12	17	14.2	21.1	72	71	70	0.223514	NonUniformIntronCover	CGND-HRA-00745
chr19	17627940	17629239	UNC13A	0	-	10	1	12.5397	9	12	19	20	10	19.1	11.3	98	81	81	0.11344	NonUniformIntronCover	CGND-HRA-00746
chr9	35384314	35385723	UNC13B	0	+	10	1	6.88948	6	7	9	5	5	6	6.8	18	18	18	0.276803	-	CGND-HRA-00746
chr19	17627940	17629239	UNC13A	0	-	10	1	13.8201	11	14	16.5	17	14	14.8	11.2	157	136	136	0.0809045	-	CGND-HRA-00747
chr9	35384314	35385723	UNC13B	0	+	10	1	10.8627	8	10	15	12	8	17.55	10.6	15	15	15	0.420015	-	CGND-HRA-00747
chr19	17627940	17629239	UNC13A	0	-	10	1	18.2708	15	18	23	23	22	24	20.75	167	143	143	0.0986167	-	CGND-HRA-00748
chr9	35384314	35385723	UNC13B	0	+	10	1	8.36542	5	8	12	16	8	15.05	5	22	22	22	0.275492	NonUniformIntronCover	CGND-HRA-00748
chr19	17627940	17629239	UNC13A	0	-	10	0.959659	3.1354	2	3	4	4	4	4.3	4	17	14	14	0.155716	-	CGND-HRA-00749
chr9	35384314	35385723	UNC13B	0	+	10	1	7.1943	6	7	9	11	8	12.6	7.55	18	18	18	0.285553	NonUniformIntronCover	CGND-HRA-00749
